count;dtLSM
415;812
416;814
417;812
418;814
419;812
420;813
421;812
422;816
423;812
424;812
425;812
426;821
427;887
428;794
429;781
430;813
431;814
432;793
433;804
434;813
435;813
436;796
437;781
438;783
439;785
440;795
441;782
442;814
443;812
444;794
445;782
446;813
447;795
448;793
449;782
450;784
451;783
452;783
453;815
454;813
455;794
456;782
457;815
458;815
459;782
460;781
461;783
462;796
463;815
464;811
465;812
466;793
467;782
468;784
469;794
470;782
471;783
472;783
473;781
474;784
475;781
476;782
477;782
478;814
479;811
480;820
481;781
482;812
483;813
484;794
485;783
486;783
487;768
488;785
489;787
490;784
491;772
492;760
493;784
494;774
495;761
496;761
497;760
498;762
499;772
500;760
501;760
502;787
503;785
504;794
505;785
506;785
507;785
508;773
509;761
510;762
511;772
512;759
513;761
514;760
515;786
516;790
517;784
518;784
519;783
520;784
521;783
522;820
523;814
524;825
525;812
526;811
527;811
528;822
529;812
530;814
531;813
532;823
533;812
534;811
535;813
536;820
537;822
538;814
539;789
540;814
541;814
542;821
543;812
544;813
545;840
546;813
547;812
548;811
549;812
550;812
551;822
552;812
553;812
554;814
555;813
556;814
557;813
558;813
559;811
560;818
561;820
562;813
563;812
564;813
565;813
566;813
567;812
568;823
569;813
570;812
571;812
572;813
573;822
574;814
575;811
576;813
577;812
578;812
579;814
580;812
581;823
582;823
583;818
584;812
585;813
586;824
587;813
588;812
589;812
590;818
591;826
592;812
593;812
594;813
595;822
596;812
597;813
598;813
599;812
600;813
601;812
602;812
603;812
604;813
605;820
606;821
607;812
608;812
609;834
610;813
611;811
612;812
613;819
614;845
615;812
616;812
617;812
618;812
619;813
620;814
621;813
622;812
623;815
624;811
625;812
626;814
627;825
628;815
629;812
630;813
631;813
632;817
633;813
634;811
635;813
636;812
637;814
638;812
639;814
640;813
641;814
642;814
643;813
644;814
645;814
646;813
647;812
648;811
649;837
650;813
651;813
652;812
653;813
654;813
655;814
656;812
657;814
658;812
659;816
660;812
661;811
662;813
663;812
664;813
665;816
666;796
667;813
668;814
669;813
670;813
671;812
672;814
673;814
674;816
675;813
676;811
677;812
678;831
679;813
680;813
681;812
682;813
683;812
684;813
685;820
686;816
687;813
688;811
689;812
690;813
691;813
692;814
693;813
694;813
695;814
696;813
697;812
698;812
699;812
700;813
701;835
702;812
703;815
704;813
705;814
706;813
707;814
708;812
709;814
710;812
711;812
712;812
713;811
714;812
715;812
716;814
717;813
718;840
719;813
720;814
721;813
722;813
723;814
724;815
725;812
726;812
727;812
728;812
729;812
730;813
731;813
732;814
733;814
734;811
735;814
736;814
737;812
738;811
739;812
740;812
741;813
742;813
743;812
744;812
745;814
746;813
747;812
748;812
749;813
750;812
751;812
752;812
753;834
754;815
755;812
756;812
757;813
758;813
759;828
760;813
761;811
762;812
763;812
764;812
765;813
766;813
767;813
768;813
769;813
770;812
771;813
772;813
773;812
774;812
775;812
776;814
777;812
778;812
779;812
780;812
781;812
782;814
783;812
784;813
785;812
786;811
787;812
788;814
789;812
790;814
791;813
792;814
793;811
794;814
795;812
796;811
797;812
798;813
799;812
800;812
801;814
802;812
803;813
804;812
805;823
806;812
807;812
808;813
809;813
810;813
811;814
812;813
813;813
814;812
815;812
816;812
817;814
818;813
819;812
820;812
821;814
822;812
823;812
824;811
825;813
826;812
827;816
828;812
829;812
830;813
831;813
832;813
833;811
834;817
835;813
836;816
837;783
838;793
839;793
840;813
841;785
842;794
843;806
844;780
845;784
846;785
847;797
848;790
849;781
850;784
851;790
852;811
853;783
854;793
855;792
856;790
857;786
858;786
859;799
860;790
861;784
862;781
863;793
864;811
865;782
866;786
867;801
868;786
869;783
870;783
871;795
872;795
873;792
874;783
875;783
876;836
877;818
878;824
879;814
880;833
881;848
882;820
883;818
884;818
885;835
886;834
887;832
888;817
889;821
890;842
891;829
892;816
893;815
894;832
895;833
896;846
897;815
898;814
899;860
900;859
901;808
902;796
903;795
904;796
905;796
906;803
907;795
908;818
909;813
910;821
911;808
912;816
913;826
914;808
915;798
916;799
917;805
918;809
919;828
920;818
921;803
922;850
923;902
924;814
925;817
926;822
927;840
928;850
929;828
930;818
931;815
932;829
933;831
934;817
935;821
936;832
937;849
938;837
939;817
940;814
941;816
942;832
943;860
944;834
945;817
946;830
947;835
948;831
949;795
950;817
951;828
952;846
953;837
954;817
955;816
956;835
957;826
958;814
959;813
960;820
961;828
962;841
963;832
964;821
965;813
966;791
967;855
968;816
969;817
970;821
971;829
972;795
973;816
974;814
975;814
976;838
977;833
978;820
979;827
980;831
981;823
982;813
983;815
984;816
985;829
986;837
987;830
988;815
989;814
990;823
991;819
992;814
993;817
994;825
995;851
996;832
997;811
998;814
999;821
1000;835
1001;837
1002;816
1003;822
1004;836
1005;836
1006;826
1007;813
1008;813
1009;834
1010;832
1011;819
1012;828
1013;841
1014;824
1015;818
1016;816
1017;813
1018;830
1019;846
1020;839
1021;823
1022;816
1023;834
1024;836
1025;815
1026;815
1027;811
1028;846
1029;849
1030;821
1031;815
1032;815
1033;832
1034;839
1035;835
1036;814
1037;833
1038;831
1039;812
1040;819
1041;885
1042;815
1043;825
1044;810
1045;809
1046;828
1047;819
1048;815
1049;826
1050;808
1051;800
1052;799
1053;808
1054;787
1055;786
1056;815
1057;823
1058;809
1059;807
1060;796
1061;795
1062;797
1063;788
1064;783
1065;794
1066;796
1067;829
1068;816
1069;828
1070;808
1071;816
1072;823
1073;810
1074;796
1075;794
1076;795
1077;803
1078;808
1079;792
1080;815
1081;841
1082;835
1083;815
1084;815
1085;835
1086;852
1087;826
1088;814
1089;814
1090;820
1091;834
1092;851
1093;813
1094;817
1095;831
1096;829
1097;822
1098;813
1099;816
1100;824
1101;830
1102;826
1103;814
1104;821
1105;836
1106;822
1107;816
1108;814
1109;825
1110;841
1111;822
1112;815
1113;813
1114;827
1115;854
1116;822
1117;831
1118;816
