count;dtLSM
701;985
702;832
703;996
704;835
705;999
706;835
707;987
708;825
709;987
710;861
711;823
712;830
713;822
714;837
715;805
716;827
717;827
718;1001
719;826
720;941
721;802
722;985
723;802
724;926
725;794
726;942
727;802
728;1037
729;837
730;990
731;803
732;979
733;835
734;994
735;771
736;929
737;837
738;976
739;794
740;1034
741;827
742;990
743;747
744;942
745;831
746;988
747;783
748;943
749;824
750;1049
751;848
752;939
753;866
754;986
755;837
756;977
757;821
758;831
759;834
760;973
761;828
762;1160
763;832
764;990
765;826
766;980
767;794
768;827
769;831
770;801
771;849
772;826
773;1034
774;832
775;1020
776;985
777;826
778;997
779;834
780;801
781;794
782;1000
783;835
784;992
785;828
786;1006
787;823
788;995
789;826
790;951
791;793
792;980
793;795
794;964
795;790
796;976
797;790
798;1014
799;834
800;973
801;830
802;1000
803;822
804;944
805;822
806;999
807;834
808;998
809;826
810;1015
811;779
812;992
813;828
814;982
815;783
816;976
817;833
818;972
819;813
820;976
821;758
822;981
823;796
824;986
825;830
826;1000
827;840
828;1022
829;792
830;928
831;865
832;1016
833;875
834;984
835;799
836;842
837;835
838;783
839;1051
840;833
841;996
842;879
843;824
844;1026
845;841
846;832
847;944
848;825
849;904
850;835
851;792
852;830
853;905
854;999
855;848
856;990
857;806
858;833
859;790
860;829
861;917
862;794
863;814
864;983
865;808
866;998
867;823
868;873
869;804
870;857
871;792
872;828
873;820
874;1006
875;800
876;990
877;803
878;879
879;794
880;986
881;752
882;920
883;793
884;944
885;799
886;983
887;841
888;966
889;807
890;1009
891;811
892;973
893;817
894;1014
895;831
896;862
897;782
898;922
899;830
900;991
901;788
902;932
903;825
904;977
905;800
906;943
907;838
908;969
909;755
910;943
911;824
912;998
913;818
914;987
915;853
916;980
917;827
918;967
919;793
920;1098
921;797
922;1029
923;873
924;995
925;799
926;994
927;752
928;995
929;796
930;989
931;805
932;914
933;793
934;913
935;793
936;959
937;795
938;988
939;819
940;996
941;788
942;993
943;796
944;998
945;788
946;976
947;786
948;927
949;753
950;991
951;834
952;989
953;838
954;962
955;828
956;997
957;835
958;996
959;832
960;984
961;833
962;984
963;829
964;1069
965;833
966;1015
967;836
968;1012
969;794
970;1035
971;828
972;948
973;793
974;789
975;796
976;951
977;792
978;981
979;826
980;806
981;830
982;793
983;879
984;997
985;870
986;961
987;831
988;984
989;793
990;1030
991;822
992;1024
993;840
994;996
995;825
996;940
997;854
998;1060
999;820
1000;991
1001;835
1002;840
1003;873
1004;814
1005;758
1006;800
1007;993
1008;796
1009;1121
1010;827
1011;996
1012;835
1013;1043
1014;827
1015;1019
1016;837
1017;1003
1018;829
1019;985
1020;825
1021;959
1022;828
1023;995
1024;834
1025;1073
1026;792
1027;1005
1028;836
1029;1050
1030;883
1031;996
1032;802
