count;dtLSM
1096;837
1097;839
1098;838
1099;817
1100;827
1101;842
1102;839
1103;817
1104;827
1105;839
1106;824
1107;793
1108;1048
1109;965
1110;823
1111;839
1112;785
1113;833
1114;828
1115;841
1116;816
1117;837
1118;827
1119;838
1120;815
1121;834
1122;840
1123;966
1124;1072
1125;816
1126;829
1127;841
1128;837
1129;817
1130;827
1131;839
1132;837
1133;816
1134;840
1135;839
1136;824
1137;1023
1138;1065
1139;838
1140;840
1141;847
1142;839
1143;818
1144;803
1145;829
1146;841
1147;818
1148;818
1149;831
1150;825
1151;1055
1152;1063
1153;829
1154;828
1155;838
1156;838
1157;818
1158;839
1159;839
1160;839
1161;826
1162;823
1163;839
1164;827
1165;1067
1166;969
1167;824
1168;817
1169;827
1170;825
1171;818
1172;817
1173;818
1174;816
1175;827
1176;817
1177;818
1178;817
1179;815
1180;1036
1181;1039
1182;816
1183;817
1184;816
1185;817
1186;817
1187;819
1188;821
1189;816
1190;817
1191;817
1192;822
1193;817
1194;818
1195;1002
1196;948
1197;820
1198;816
1199;817
1200;817
1201;816
1202;818
1203;815
1204;814
1205;789
1206;818
1207;816
1208;817
1209;817
1210;849
1211;942
1212;940
1213;818
1214;816
1215;818
1216;818
1217;817
1218;819
1219;817
1220;815
1221;824
1222;826
1223;816
1224;818
1225;817
1226;1047
1227;943
1228;816
1229;816
1230;817
1231;817
1232;816
1233;780
1234;817
1235;817
1236;816
1237;815
1238;816
1239;819
1240;816
1241;866
1242;1053
1243;856
1244;818
1245;815
1246;820
1247;817
1248;817
1249;817
1250;816
1251;822
1252;816
1253;816
1254;818
1255;819
1256;826
1257;1002
1258;943
1259;815
1260;816
1261;818
1262;816
1263;817
1264;818
1265;819
1266;841
1267;818
1268;817
1269;817
1270;818
1271;816
1272;846
1273;1053
1274;856
1275;818
1276;816
1277;817
1278;818
1279;821
1280;820
1281;816
1282;817
1283;798
1284;817
1285;819
1286;816
1287;826
1288;987
1289;954
1290;816
1291;828
1292;816
1293;816
1294;816
1295;816
1296;824
1297;817
1298;818
1299;817
1300;777
1301;817
1302;817
1303;837
1304;949
1305;956
1306;816
1307;817
1308;817
1309;817
1310;817
1311;818
1312;819
1313;817
1314;817
1315;816
1316;818
1317;818
1318;817
1319;847
1320;940
1321;948
1322;817
1323;816
1324;817
1325;816
1326;820
1327;816
1328;817
1329;819
1330;816
1331;817
1332;816
1333;819
1334;816
1335;849
1336;1049
1337;871
1338;817
1339;816
1340;815
1341;819
1342;816
1343;817
1344;830
1345;817
1346;818
1347;815
1348;817
1349;788
1350;819
1351;1038
1352;949
1353;819
1354;823
1355;817
1356;816
1357;816
1358;816
1359;816
1360;817
1361;817
1362;816
1363;818
1364;816
1365;818
1366;842
1367;1046
1368;856
1369;816
1370;817
1371;816
1372;818
1373;818
1374;815
1375;818
1376;817
1377;817
1378;819
1379;816
1380;819
1381;818
1382;1023
1383;942
1384;816
1385;816
1386;816
1387;817
1388;816
1389;821
1390;816
1391;816
1392;818
1393;816
1394;818
1395;818
1396;817
1397;1047
1398;947
1399;816
1400;835
1401;817
1402;817
1403;817
1404;818
1405;816
1406;817
1407;826
1408;817
1409;816
1410;816
1411;817
1412;854
1413;1047
1414;862
1415;817
1416;818
1417;818
1418;818
1419;818
1420;816
1421;816
1422;835
1423;818
1424;817
1425;817
1426;818
1427;824
1428;993
1429;952
